BELGRADE_cloud_cover,BELGRADE_humidity,BELGRADE_pressure,BELGRADE_global_radiation,BELGRADE_precipitation,BELGRADE_sunshine,BELGRADE_temp_mean,BELGRADE_temp_min,BELGRADE_temp_max
7,0.85,1.0204,0.24,0.0,0.0,2.8,1.8,4.3
7,0.76,1.0157,0.25,0.0,0.0,5.8,1.2,7.7
2,0.67,1.0115,0.92,0.0,7.7,10.1,5.5,15.4
5,0.64,1.0064,0.73,0.02,4.3,10.9,6.6,13.9
6,0.83,1.0137,0.58,0.0,2.2,7.5,6.3,11.3
7,0.88,1.0201,0.25,0.01,0.0,4.3,3.5,6.9
6,0.83,1.0165,0.76,0.0,4.5,5.2,1.5,10.2
8,0.89,1.0187,0.48,0.0,1.1,3.2,1.4,5.7
8,0.88,1.0169,0.26,0.0,0.0,3.3,2.0,3.7
8,0.88,1.0181,0.26,0.08,0.0,3.5,2.7,3.9
2,0.72,1.0192,0.83,0.01,5.3,4.3,0.4,9.0
8,0.86,1.0261,0.26,0.69,0.0,3.1,1.5,6.8
3,0.81,1.0355,0.83,0.0,5.1,-1.4,-4.1,2.2
