BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max
6,0.9,1.018,0.29,0.0,0.1,6.4,5.2,9.7
5,0.82,1.018,0.79,0.0,5.2,6.6,1.7,10.6
7,0.85,1.018,0.23,0.86,0.0,8.0,4.2,10.2
4,0.81,1.018,0.86,0.0,6.7,6.1,2.5,11.9
7,0.87,1.018,0.23,0.54,0.0,6.7,1.6,10.7
6,0.67,1.018,0.5,0.31,1.8,7.3,4.8,10.9
8,0.9,1.018,0.22,0.34,0.0,5.2,4.1,7.1
2,0.76,1.018,0.86,0.0,7.3,6.5,3.5,12.4
5,0.79,1.018,0.26,0.0,0.1,4.6,1.8,7.6
8,0.88,1.018,0.28,0.1,0.2,6.4,2.0,9.5
5,0.93,1.018,0.36,0.15,0.7,6.7,4.8,11.6
7,0.78,1.018,0.67,0.0,4.5,7.4,4.4,13.4
8,0.74,1.018,0.34,0.0,0.6,10.9,4.2,14.1
4,0.57,1.018,0.75,0.0,6.2,13.4,9.7,16.2
7,0.66,1.018,0.38,0.19,1.0,10.7,8.2,16.3
8,0.95,1.018,0.2,0.2,0.0,4.6,3.3,9.7
7,0.86,1.018,0.33,0.0,0.6,3.5,-0.7,5.4
0,0.8,1.018,0.75,0.0,6.6,3.5,-1.2,8.3
1,0.78,1.018,0.76,0.0,7.7,3.7,-0.6,8.9
7,0.89,1.018,0.26,0.09,0.2,3.4,-0.2,5.1
5,0.77,1.018,0.66,0.0,5.7,5.5,2.9,10.8
6,0.5,1.018,0.52,0.19,3.2,11.6,2.4,15.4
8,0.8,1.018,0.18,0.67,0.0,7.8,5.8,13.9
8,0.8,1.018,0.31,0.06,0.6,6.6,5.2,9.3
5,0.9,1.018,0.38,0.0,1.3,3.1,0.9,6.7
8,0.87,1.018,0.25,0.0,0.2,2.2,-2.5,3.9
8,0.98,1.018,0.18,0.35,0.0,0.9,-0.3,1.2
8,0.97,1.018,0.18,0.0,0.0,0.6,-0.6,0.7
8,0.94,1.018,0.18,0.0,0.0,0.4,-0.8,0.9
8,0.86,1.018,0.18,0.0,0.0,-0.1,-1.3,0.7
8,0.88,1.018,0.18,0.05,0.0,-3.1,-4.1,-0.3
8,0.9,1.018,0.17,0.0,0.0,-1.4,-3.9,-0.8
8,0.84,1.018,0.17,0.0,0.0,-0.4,-2.2,0.3
8,0.9,1.018,0.17,0.0,0.0,-0.6,-1.8,-0.2
8,0.92,1.018,0.17,0.0,0.0,-0.8,-2.2,0.1
8,0.95,1.018,0.17,0.62,0.0,-1.5,-2.2,-0.5
7,0.87,1.018,0.34,0.04,1.0,1.3,-3.1,3.4
8,0.93,1.018,0.17,0.33,0.0,2.0,0.8,4.3
7,0.95,1.018,0.42,0.0,2.0,0.6,-2.1,3.1
8,0.93,1.018,0.17,0.13,0.0,0.2,-2.1,2.1
8,0.94,1.018,0.4,0.0,1.7,-1.6,-3.0,2.1
8,0.83,1.018,0.17,0.0,0.0,-2.2,-4.7,-1.4
4,0.81,1.018,0.48,0.0,2.8,-3.6,-7.1,-0.3
4,0.78,1.018,0.67,0.48,6.4,-0.9,-5.7,1.4
8,0.98,1.018,0.18,0.55,0.0,0.9,-1.0,1.4
